Full Name,Bats,BaseRunning,UZR,BattingRuns,ReplacementRuns,DEF_adj,FramingRuns,Runs/WAR,BattingRuns/PA,wRC/PA,Updated wRC/PA,Updated BattingRuns/PA,Update wOBA,% Change,col_CL
Jordan Groshans ATL,R,0.004,-0.006153846,-0.106153846,0.130769231,0.016615385,0,9.694656489,-0.026299222,0.091475556,0.092143859,-0.02649136,0.279224163,1.007305809,
Skye Bolt NA,B,0.004117647,-0.047058824,-0.105882353,0.135294118,0.017058824,0,10,-0.025714286,0.091428571,0.091839011,-0.025829722,0.278434358,1.004489188,
Alex Jackson MIN,R,0.005720524,-0.004039301,-0.102401747,0.125327511,0.083329694,0.050858697,9.682909434,-0.02654704,0.091527854,0.089738306,-0.026027993,0.271621367,0.98044805,
Paul McIntosh PHI,R,0.004774775,0,-0.108108108,0.132432432,0.083423423,0,9.682170543,-0.026621068,0.091620842,0.091044006,-0.026453464,0.275271936,0.993704104,
Brady Whalen NA,L,0.008947368,0,-0.110526316,0.131578947,-0.084210526,0,9.716981132,-0.026923077,0.091025641,0.090682074,-0.026821458,0.27596545,0.996225601,
Will Simpson TBA,R,0.008823529,0,-0.111764706,0.135294118,-0.084705882,0,9.673913043,-0.027142857,0.091428571,0.088428384,-0.026252177,0.267897797,0.967185453,
Murphy Stehly WAS,R,0.009411765,0,-0.111764706,0.135294118,0.017058824,0,9.659090909,-0.027142857,0.091428571,0.091538615,-0.027175526,0.277297353,1.001203597,
Shane Matheny NA,L,0.01,0,-0.110526316,0.131578947,-0.084210526,0,9.711538462,-0.026923077,0.091025641,0.090898428,-0.026885451,0.276566943,0.99860245,
Eguy Rosario NA,R,0.00937037,-0.006296296,-0.106296296,0.12962963,0.01662963,0,9.683333333,-0.026624682,0.091377392,0.091536734,-0.026671109,0.277384855,1.001743776,
Riley Adams WAS,R,0.001701847,-0.018733509,-0.107255937,0.130474934,0.083298153,-0.086934214,9.670317033,-0.026716071,0.091353846,0.090249694,-0.026393166,0.273489022,0.987913457,
Michael Helman TEX,R,0.014178082,-0.013013699,-0.107534247,0.130669711,0.019452055,0,9.683341755,-0.026745104,0.091327053,0.087145432,-0.025520517,0.264102216,0.954212685,
Diego Velasquez SFN,B,0.009655172,0,-0.110344828,0.134482759,0.016896552,0,9.671052632,-0.026986039,0.091077883,0.091373649,-0.027073674,0.277656743,1.003247397,
Justin Dirden NA,L,0.009473684,0,-0.110526316,0.131578947,0.016842105,0,9.677419355,-0.026923077,0.091025641,0.091188004,-0.0269711,0.277239632,1.001783701,
Yamal Encarnacion HOU,B,0.018823529,0,-0.111764706,0.135294118,-0.050588235,0,10,-0.027142857,0.091428571,0.087954139,-0.026111385,0.26622536,0.961998396,
Alfonsin Rosario CLE,R,0.010588235,0,-0.111764706,0.135294118,-0.050588235,0,9.655172414,-0.027142857,0.091428571,0.090699266,-0.026926345,0.274498778,0.992023223,
Aaron Zavala TEX,L,0.006441718,0,-0.108588957,0.131288344,-0.04993865,0,9.685714286,-0.026825795,0.091238014,0.090348025,-0.02656412,0.273944465,0.990245425,
Tyler Naquin NA,L,0.003157895,-0.015789474,-0.110526316,0.131578947,-0.050526316,0,9.638554217,-0.026923077,0.091025641,0.091053614,-0.026931351,0.276689002,1.000307306,
Aaron Shackelford NA,L,0.009473684,0,-0.110526316,0.131578947,-0.084210526,0,9.714285714,-0.026923077,0.091025641,0.091277766,-0.026997649,0.277343068,1.002769818,
Matthew Lugo LAA,R,0.009695767,0.016931217,-0.108068783,0.130291005,-0.050026455,0,9.673913043,-0.026947609,0.091133712,0.090399875,-0.026730618,0.274315197,0.991947686,
Garrett Cooper NA,R,-0.009285714,-0.012244898,-0.110204082,0.133673469,-0.083673469,0,9.685610641,-0.026822537,0.091146953,0.091741099,-0.026997381,0.278335595,1.006518553,
Rodolfo DurÃ¡n SDN,R,0.004297297,0,-0.109459459,0.131621622,0.083297297,0,9.682880305,-0.027010355,0.091101594,0.090102864,-0.026714246,0.273456912,0.989037181,
James Triantos CHN,R,0.022094926,0,-0.109656301,0.131914894,0.016677578,0,9.683199672,-0.027024837,0.091037399,0.092140628,-0.027352335,0.279789003,1.012118417,
Eric Rataczak MIA,L,0.010526316,0,-0.110526316,0.131578947,-0.050526316,0,9.72972973,-0.026923077,0.091025641,0.091540794,-0.027075446,0.277974322,1.005659426,
Jose Herrera TEX,B,-0.000106762,-0.020106762,-0.103914591,0.12455516,0.083291815,-0.025535716,9.683618953,-0.027112331,0.090947014,0.089865496,-0.026789918,0.273051862,0.988108266,
Jacob Cozart CLE,L,0.006315789,0,-0.110526316,0.131578947,0.084210526,0,9.680365297,-0.026923077,0.091025641,0.089608349,-0.026503878,0.272013692,0.984429754,
Quincy Hamilton NA,L,0.007464789,0,-0.11056338,0.132394366,-0.050140845,0,9.673202614,-0.027205503,0.090973815,0.091351887,-0.027318564,0.277425161,1.004155833,
Leonard Jones NA,R,0.01,0,-0.111764706,0.135294118,-0.050588235,0,9.666666667,-0.027142857,0.091428571,0.091689565,-0.02722034,0.277037586,1.00285462,
Willie Garry NA,L,0.012105263,0,-0.110526316,0.131578947,0.016842105,0,9.693877551,-0.026923077,0.091025641,0.09109958,-0.026944946,0.276452376,1.000812286,
Euribiel Angeles OAK,R,0.010952381,0,-0.10952381,0.133333333,0.016666667,0,9.642857143,-0.026688527,0.090508919,0.089249929,-0.026317287,0.272321538,0.986089874,
Junior Perez OAK,R,0.016025641,0,-0.110722611,0.131818182,-0.023344988,0,9.680589681,-0.027300723,0.090782087,0.088790436,-0.026701777,0.270043672,0.978061188,
Anthony Dungan SDN,L,0.011098039,0,-0.110588235,0.131372549,0.049921569,0,9.684308713,-0.027328739,0.090805065,0.090316823,-0.027181797,0.274596563,0.994623183,
Arismendy Alcantara NA,B,-0.001764706,0,-0.111764706,0.135294118,0.017058824,0,9.705882353,-0.027142857,0.091428571,0.091584194,-0.027189058,0.276503843,1.00170212,
Evan White LAA,R,0.011875,0.01875,-0.1125,0.13125,-0.085,0,9.661016949,-0.027272727,0.090909091,0.091196766,-0.02735903,0.2768473,1.003164429,
Minho Kang NA,R,-0.01,0,-0.111764706,0.135294118,0.084705882,0,9.709302326,-0.027142857,0.09,0.087368373,-0.026349192,0.267876286,0.970759702,
Jarrod Orr NA,L,0.012631579,0,-0.110526316,0.131578947,-0.050526316,0,9.696969697,-0.026923077,0.091025641,0.0911337,-0.026955038,0.27624555,1.001187128,
Yasiel Puig NA,R,-0.003529412,0,-0.111764706,0.135294118,-0.027058824,0,10,-0.027142857,0.09,0.09011418,-0.027177292,0.276259037,1.001268668,
Luis Mieses NA,L,0.006666667,0,-0.111111111,0.130555556,-0.049444444,0,9.655172414,-0.027638465,0.090515974,0.090679761,-0.027688477,0.276398236,1.001809488,
Yu Chang NA,R,0.006666667,-0.06,-0.113333333,0.133333333,0.050666667,0,9.62962963,-0.027419355,0.090322581,0.090605175,-0.027505142,0.276759202,1.003128722,
Ryan McKenna NA,R,0.01540146,-0.011678832,-0.111678832,0.132116788,-0.049927007,0,9.671232877,-0.027425662,0.090522609,0.090861856,-0.027528444,0.276918921,1.003747652,
Leonardo Balcazar CIN,R,0.008823529,0,-0.111764706,0.135294118,0.017058824,0,9.655172414,-0.027142857,0.09,0.089569423,-0.027013001,0.274492463,0.99521581,
Connor Hollis SDN,R,0.008142857,0,-0.111428571,0.131428571,0.016571429,0,9.690402477,-0.027545161,0.090404632,0.090616976,-0.02760986,0.27638666,1.002348815,
Kyle Farmer ATL,R,-0.004876033,-0.001928375,-0.112121212,0.131955923,0.016666667,0,9.681185451,-0.027600927,0.090465936,0.089013248,-0.027157715,0.271289578,0.983942151,
Cooper Pratt MIL,R,0.017058824,0,-0.111764706,0.135294118,0.050588235,0,9.6875,-0.027142857,0.09,0.089942905,-0.027125638,0.275518103,0.99936561,
Luke Maile KCA,R,-0.001906977,0.005581395,-0.107906977,0.126976744,0.083162791,-0.022380951,9.683815756,-0.027649806,0.090457769,0.089657172,-0.027405091,0.273242075,0.991149495,
