Full Name,Bats,BaseRunning,UZR,BattingRuns,ReplacementRuns,DEF_adj,FramingRuns,Runs/WAR,BattingRuns/PA,wRC/PA,Updated wRC/PA,Updated BattingRuns/PA,Update wOBA,% Change,wWOBA Change
Kyle Manzardo CLE,L,0.002721025,0.002061394,0.077704884,0.139747995,-0.101177757,0,9.683010424,0.018072104,0.136141405,0.130315161,0.017298698,0.318218797,0.957204469,-0.014227203
Gleyber Torres DET,R,-0.004776487,-0.027145371,0.080126716,0.145835973,0.016665963,0,9.682991215,0.017856799,0.13592629,0.134316614,0.017645334,0.328244258,0.988157729,-0.003933742
Josh Bell MIN,B,-0.016783769,-0.013631996,0.078631082,0.143654684,-0.091465142,0,9.683003564,0.017789818,0.135859413,0.132923631,0.017405398,0.324917792,0.978391034,-0.007176208
Brandon Nimmo TEX,L,0.006712039,0.002727486,0.080400592,0.147133084,-0.056666902,0,9.682997762,0.017759975,0.135829538,0.136036534,0.017787041,0.332564038,1.001523945,0.000506038
Jurickson Profar ATL,B,0.000809295,-0.034615385,0.079567308,0.145833333,-0.050008013,0,9.683252588,0.017729931,0.135804487,0.136136639,0.017773295,0.332829051,1.002445812,0.000812051
Adley Rutschman BAL,B,-0.001692677,-0.002715067,0.076270508,0.141640656,0.044321729,0.020000001,9.682998156,0.017500683,0.135568772,0.136609059,0.017634974,0.334280567,1.007673495,0.002545567
Munetaka Murakami CHA,L,0.004060847,0,0.075146972,0.140255732,-0.080952381,0,9.682980639,0.017413047,0.135483247,0.138510018,0.017802064,0.339036753,1.022340553,0.007408753
Matt Chapman SFN,R,0.006822992,0.005965497,0.074514352,0.139634677,0.01666715,0,9.683011903,0.017343233,0.135412185,0.132911133,0.017022905,0.325416484,0.981530084,-0.006123516
Ryan O'Hearn PIT,L,-0.000736722,-0.009399533,0.074071959,0.139053874,-0.068376166,0,9.683011243,0.017312155,0.135380515,0.137191974,0.0175438,0.335936649,1.0133805,0.004435649
Jose Altuve HOU,R,0.000768213,-0.02348444,0.077249377,0.149066002,-0.00505604,0,9.683000679,0.016842144,0.134910239,0.133228507,0.016632197,0.326791933,0.987534436,-0.004125067
Zach Neto LAA,R,0.022162366,-0.013113022,0.075290478,0.146778331,0.049999246,0,9.682996927,0.016671084,0.134740248,0.130193342,0.016108506,0.319545123,0.966254284,-0.011159877
Randy Arozarena SEA,R,0.005703396,-0.044973251,0.071210781,0.139644729,-0.051376166,0,9.68302306,0.016573655,0.134643721,0.134763685,0.016588422,0.330879541,1.000890969,0.000294541
Michael Harris II ATL,L,0.018763786,0.030765432,0.067045267,0.131753086,0.016665844,0,9.683014472,0.016538928,0.134607707,0.13722457,0.016860456,0.336966936,1.019440662,0.006425936
Giancarlo Stanton NYA,R,-0.015304464,-0.019444444,0.068934983,0.136814653,-0.115539787,0,9.683069567,0.016375663,0.134445837,0.130804378,0.015932129,0.321390812,0.972915051,-0.008947188
Luke Keaschall MIN,R,0.016946402,-0.000296736,0.070187315,0.143137982,0.011666358,0,9.683000413,0.015936119,0.134005303,0.128203709,0.015246184,0.315515019,0.956706234,-0.014277981
Taylor Ward BAL,R,-0.003207464,-0.011642883,0.070823271,0.145159166,-0.049998536,0,9.683006615,0.015857452,0.133926491,0.135035285,0.015988738,0.332423578,1.008279125,0.002729578
Masataka Yoshida BOS,L,-0.004648167,-0.027607362,0.064990089,0.136124876,-0.111330525,0,9.683122654,0.015517567,0.133588327,0.133000585,0.015449295,0.327822323,0.99560035,-0.001448677
Jac Caglianone KCA,L,0.005326012,-0.002659033,0.063965318,0.135606936,-0.058588439,0,9.682985799,0.015330451,0.133399587,0.133885514,0.015386295,0.330239579,1.003642643,0.001198579
