Full Name,Bats,BaseRunning,UZR,BattingRuns,ReplacementRuns,DEF_adj,FramingRuns,Runs/WAR,BattingRuns/PA,wRC/PA,Updated wRC/PA,Updated BattingRuns/PA,Update wOBA,% Change,col_CL
Ezequiel Duran TEX,R,0.000821559,-0.019884877,-0.039141811,0.130455259,0.021166928,0,9.683228571,-0.00975335,0.108316946,0.110396057,-0.009940562,0.303611985,1.019194697,
Jake Holton SFN,R,0.003913043,0,-0.039130435,0.130434783,-0.082608696,0,9.666666667,-0.009731956,0.108132842,0.106126725,-0.009551405,0.292276094,0.981447658,
Sal Frelick MIL,L,0.00920488,0.008918805,-0.041564998,0.137484224,-0.041779554,0,9.683184273,-0.009827201,0.10823846,0.107203701,-0.009733253,0.294946101,0.990440007,
Eguy Rosario NA,R,0.001870504,-0.00647482,-0.039568345,0.129496403,0.016618705,0,9.68557758,-0.009904447,0.108228595,0.10784934,-0.00986974,0.296726555,0.996495802,
Andre Lipcius NA,R,0.002258065,-0.02,-0.04,0.131612903,0.016645161,0,9.682539683,-0.009866533,0.108213587,#N/A,#N/A,#N/A,#N/A,
Sebastian Walcott TEX,R,0.001428571,0,-0.042857143,0.142857143,0.052857143,0,9.642857143,-0.01,0.106666667,0.106616222,-0.009995271,0.2975852,0.999527082,
Ildemaro Vargas ARI,B,-0.002782051,-0.015641026,-0.04025641,0.131794872,0.011538462,0,9.683237869,-0.009925519,0.108137585,0.112827731,-0.010356009,0.31058055,1.043372023,
Hao-Yu Lee DET,R,0.006052632,0,-0.040789474,0.131578947,0.016666667,0,9.6820056,-0.010065348,0.108013088,0.10718408,-0.009988096,0.295268266,0.992324925,
Adam Duvall NA,R,-0.006847826,-0.010869565,-0.041304348,0.131521739,-0.050108696,0,9.671361502,-0.010195925,0.10786215,0.107274107,-0.010140338,0.295805486,0.994548195,
Carter Kieboom CLE,R,0,0.04,-0.04,0.133333333,-0.085333333,0,9.72972973,-0.009601822,0.107220343,0.106895514,-0.009572733,0.296494029,0.996970457,
Alex Freeland LAN,B,0.005227273,-0.009090909,-0.040454545,0.128181818,0.021431818,0,9.682340243,-0.01026113,0.107857159,0.105893871,-0.01007435,0.291877548,0.981797335,
Ryan McKenna NA,R,0.007052632,-0.011578947,-0.042105263,0.132631579,-0.050105263,0,9.6875,-0.01031796,0.10782268,0.107642813,-0.010300748,0.296769111,0.998331829,
Rafael Lantigua TOR,R,0.001509434,0,-0.041509434,0.132075472,0.016603774,0,9.680672269,-0.010285009,0.107992591,0.106809344,-0.010172318,0.293967393,0.989043257,
Max Schuemann NYA,R,0.004588859,-0.012997347,-0.040583554,0.128381963,0.03331565,0,9.683226762,-0.010278408,0.107755338,0.107394912,-0.010244028,0.296204912,0.996655144,
Nathan Lukes TOR,L,0.001763085,-0.00312213,-0.043250689,0.135812672,-0.042066116,0,9.683315412,-0.0103519,0.107716901,0.106572893,-0.010241957,0.293999066,0.989379502,
Kevin McGonigle DET,L,0.006097345,0,-0.048274336,0.151061947,0.048261062,0,9.682915846,-0.010385525,0.107682002,0.115713506,-0.011160134,0.319259319,1.074585389,
Dylan Beavers BAL,L,0.003742018,-0.00146871,-0.043805875,0.136206897,-0.04765645,0,9.683061547,-0.010454568,0.107608902,0.106436221,-0.010340638,0.293780223,0.989102385,
Raul Melendez ARI,R,0.004090909,0,-0.040909091,0.131818182,-0.083181818,0,9.62962963,-0.010131198,0.108066113,0.106328654,-0.009968311,0.2922318,0.983922264,
Joe Dunand NA,R,0,-0.0375,-0.05,0.1375,0.0175,0,9.642857143,-0.011764706,0.108823529,0.108434993,-0.011722702,0.295896764,0.996429665,
Ryan Ignoffo MIA,R,0.01,0,-0.045454545,0.136363636,0.085454545,0,9.669811321,-0.010969541,0.107501504,0.106807908,-0.010898766,0.29502614,0.993548033,
Diego Castillo NA,R,0.002180451,0.009022556,-0.042857143,0.131578947,0.016691729,0,9.68164794,-0.010559837,0.107450975,0.107400606,-0.010554887,0.296739835,0.99953124,
Jose Iglesias NA,R,-0.004612645,-0.016295637,-0.043276937,0.131522707,0.02777382,0,9.682712093,-0.01069228,0.107362811,0.106485441,-0.010604903,0.294282306,0.991827985,
Jose Caballero NYA,R,0.014851898,-0.01760534,-0.04226116,0.128118481,0.031055486,0,9.68294457,-0.010722346,0.107350476,0.10758348,-0.010745619,0.297324946,1.0021705,
Charles Condon COL,R,0.004394619,0,-0.04367713,0.131748879,-0.08793722,0,9.674329502,-0.010772159,0.107301322,0.108929525,-0.010935617,0.301125008,1.015174119,
Denzel Clarke OAK,R,0.00978348,-0.00521251,-0.040697674,0.122774659,0.016668003,0,9.682837815,-0.010772765,0.107303105,0.103961792,-0.010437311,0.28738645,0.968860978,
Connor Wong BOS,R,0.001588468,-0.024024873,-0.044092708,0.131147541,0.083340871,-0.05219209,9.683247893,-0.01092763,0.107146809,0.107054643,-0.01091823,0.296173018,0.999139818,
Pedro Pages SLN,R,-0.003224115,-0.005591962,-0.042682394,0.126561817,0.083337702,0.045449781,9.682948013,-0.010960634,0.107104581,0.105284329,-0.010774357,0.29134791,0.983004909,
Brendon Davis NA,R,0.004029851,-0.019402985,-0.044776119,0.131343284,-0.049701493,0,9.66442953,-0.011115726,0.107081495,0.10680006,-0.011086511,0.295459417,0.997371765,
